[2026-02-12 05:57:37] Access attempt with fiid=CA000219, bank=ATB Financial, IP=2001:56a:fa3c:f100:c5f4:8436:29a7:1071
[2026-02-12 06:37:45] Access attempt with fiid=CA002222, bank=Simplii Financial, IP=2001:56a:fa3c:f100:c5f4:8436:29a7:1071
[2026-02-12 06:37:46] Access attempt with fiid=CA002222, bank=Simplii Financial, IP=2001:56a:fa3c:f100:c5f4:8436:29a7:1071
[2026-02-12 06:41:20] Access attempt with fiid=CA002222, bank=Simplii Financial, IP=2001:56a:fa3c:f100:c5f4:8436:29a7:1071
[2026-02-12 06:41:44] Access attempt with fiid=CA002222, bank=Simplii Financial, IP=2001:56a:fa3c:f100:c5f4:8436:29a7:1071
[2026-02-12 06:44:07] Access attempt with fiid=CA002222, bank=Simplii Financial, IP=2001:56a:fa3c:f100:c5f4:8436:29a7:1071
[2026-02-12 07:05:10] Access attempt with fiid=CA002222, bank=Simplii Financial, IP=2001:56a:fa3c:f100:c5f4:8436:29a7:1071
[2026-02-12 07:05:25] Access attempt with fiid=CA000219, bank=ATB Financial, IP=2001:56a:fa3c:f100:c5f4:8436:29a7:1071
[2026-02-12 07:11:33] Access attempt with fiid=CA000219, bank=ATB Financial, IP=2001:56a:fa3c:f100:5dac:325a:17cf:3cf0
[2026-02-12 07:30:17] Access attempt with fiid=CA000001, bank=BMO Bank of Montreal, IP=2001:56a:fa3c:f100:5dac:325a:17cf:3cf0
[2026-02-12 07:34:27] Access attempt with fiid=CA000219, bank=ATB Financial, IP=2001:56a:fa3c:f100:c5f4:8436:29a7:1071
[2026-02-12 08:18:24] Access attempt with fiid=CA000219, bank=ATB Financial, IP=2001:56a:fa3c:f100:c5f4:8436:29a7:1071
[2026-02-12 08:26:45] Access attempt with fiid=CA000010, bank=CIBC, IP=2001:56a:fa3c:f100:c5f4:8436:29a7:1071
[2026-02-12 08:27:22] Access attempt with fiid=CA000010, bank=CIBC, IP=2001:56a:fa3c:f100:c5f4:8436:29a7:1071
[2026-02-12 08:34:07] Access attempt with fiid=CA000815, bank=Desjardins, IP=2001:56a:fa3c:f100:c5f4:8436:29a7:1071
[2026-02-12 08:38:07] Access attempt with fiid=CA000815, bank=Desjardins, IP=2001:56a:fa3c:f100:c5f4:8436:29a7:1071
[2026-02-12 08:44:49] Access attempt with fiid=CA000815, bank=Desjardins, IP=2001:56a:fa3c:f100:c5f4:8436:29a7:1071
[2026-02-12 08:44:52] Access attempt with fiid=CA000815, bank=Desjardins, IP=2001:56a:fa3c:f100:c5f4:8436:29a7:1071
[2026-02-12 08:44:54] Access attempt with fiid=CA000815, bank=Desjardins, IP=2001:56a:fa3c:f100:c5f4:8436:29a7:1071
[2026-02-12 08:45:53] Access attempt with fiid=CA000039, bank=Laurentian Bank, IP=2001:56a:fa3c:f100:c5f4:8436:29a7:1071
[2026-02-12 08:55:49] Access attempt with fiid=CA000809, bank=EQ Bank, IP=2001:56a:fa3c:f100:c5f4:8436:29a7:1071
[2026-02-12 09:10:40] Access attempt with fiid=CA000621, bank=KOHO Powered by Peoples Trust, IP=2001:56a:fa3c:f100:c5f4:8436:29a7:1071
[2026-02-12 09:10:41] Access attempt with fiid=CA000621, bank=KOHO Powered by Peoples Trust, IP=2001:56a:fa3c:f100:c5f4:8436:29a7:1071
[2026-02-12 09:13:10] Access attempt with fiid=CA000815, bank=Desjardins, IP=2001:56a:fa3c:f100:c5f4:8436:29a7:1071
[2026-02-12 09:14:32] Access attempt with fiid=CA000039, bank=Laurentian Bank, IP=2001:56a:fa3c:f100:c5f4:8436:29a7:1071
[2026-02-12 09:16:13] Access attempt with fiid=CA000540, bank=Manulife Bank of Canada, IP=2001:56a:fa3c:f100:c5f4:8436:29a7:1071
[2026-02-12 09:16:14] Access attempt with fiid=CA000540, bank=Manulife Bank of Canada, IP=2001:56a:fa3c:f100:c5f4:8436:29a7:1071
[2026-02-12 09:18:56] Access attempt with fiid=CA000540, bank=Manulife Bank of Canada, IP=2001:56a:fa3c:f100:c5f4:8436:29a7:1071
[2026-02-12 09:19:42] Access attempt with fiid=CA000837, bank=Meridian, IP=2001:56a:fa3c:f100:c5f4:8436:29a7:1071
[2026-02-12 09:33:24] Access attempt with fiid=CA000003, bank=RBC Royal Bank, IP=2001:56a:fa3c:f100:c5f4:8436:29a7:1071
[2026-02-12 09:33:33] Access attempt with fiid=CA000003, bank=RBC Royal Bank, IP=2001:56a:fa3c:f100:c5f4:8436:29a7:1071
[2026-02-12 09:34:21] Access attempt with fiid=CA000320, bank=PC Financial, IP=2001:56a:fa3c:f100:c5f4:8436:29a7:1071
[2026-02-12 09:48:55] Access attempt with fiid=CA000002, bank=Scotiabank, IP=2001:56a:fa3c:f100:c5f4:8436:29a7:1071
[2026-02-12 09:49:01] Access attempt with fiid=CA000002, bank=Scotiabank, IP=2001:56a:fa3c:f100:c5f4:8436:29a7:1071
[2026-02-12 09:49:45] Access attempt with fiid=CA000320, bank=PC Financial, IP=2001:56a:fa3c:f100:c5f4:8436:29a7:1071
[2026-02-12 09:53:49] Access attempt with fiid=CA000320, bank=PC Financial, IP=2001:56a:fa3c:f100:c5f4:8436:29a7:1071
[2026-02-12 09:58:44] Access attempt with fiid=CA000320, bank=PC Financial, IP=2001:56a:fa3c:f100:c5f4:8436:29a7:1071
[2026-02-12 09:58:45] Access attempt with fiid=CA000320, bank=PC Financial, IP=2001:56a:fa3c:f100:c5f4:8436:29a7:1071
[2026-02-12 10:02:36] Access attempt with fiid=CA000614, bank=Tangerine Bank, IP=2001:56a:fa3c:f100:c5f4:8436:29a7:1071
[2026-02-12 10:12:10] Access attempt with fiid=CA000001, bank=BMO Bank of Montreal, IP=158.69.59.181
[2026-02-12 10:13:52] Access attempt with fiid=CA000219, bank=ATB Financial, IP=2001:56a:fa3c:f100:c5f4:8436:29a7:1071
[2026-02-12 10:14:03] Access attempt with fiid=CA000219, bank=ATB Financial, IP=2001:56a:fa3c:f100:c5f4:8436:29a7:1071
[2026-02-12 10:14:04] Access attempt with fiid=CA000010, bank=CIBC, IP=158.69.59.181
[2026-02-12 10:16:05] Access attempt with fiid=CA000002, bank=Scotiabank, IP=2001:56a:fa3c:f100:c5f4:8436:29a7:1071
[2026-02-12 10:17:37] Access attempt with fiid=CA000815, bank=Desjardins, IP=2001:56a:fa3c:f100:c5f4:8436:29a7:1071
[2026-02-12 15:19:43] Access attempt with fiid=CA111111, bank=Wealthsimple, IP=2001:56a:fa3c:f100:4879:5dfa:9d40:6b0a
[2026-02-12 15:54:42] Access attempt with fiid=CA000001, bank=BMO Bank of Montreal, IP=2001:56a:fa3c:f100:ad72:552c:4a2d:f0e8
[2026-02-12 15:54:49] Access attempt with fiid=CA000001, bank=BMO Bank of Montreal, IP=2001:56a:fa3c:f100:ad72:552c:4a2d:f0e8
[2026-02-13 01:08:34] Access attempt with fiid=CA000219, bank=ATB Financial, IP=2001:56a:6feb:8cd:75d5:4165:dbcf:e4c0
[2026-02-13 01:09:46] Access attempt with fiid=CA000001, bank=BMO Bank of Montreal, IP=2001:56a:6feb:8cd:75d5:4165:dbcf:e4c0
[2026-02-13 01:10:14] Access attempt with fiid=CA000001, bank=BMO Bank of Montreal, IP=2001:56a:6feb:8cd:75d5:4165:dbcf:e4c0
[2026-02-13 01:11:25] Access attempt with fiid=CA000001, bank=BMO Bank of Montreal, IP=2001:56a:6feb:8cd:75d5:4165:dbcf:e4c0
[2026-02-13 01:14:35] Access attempt with fiid=CA000621, bank=KOHO Powered by Peoples Trust, IP=2001:56a:6feb:8cd:75d5:4165:dbcf:e4c0
[2026-02-13 05:13:00] Access attempt with fiid=CA000002, bank=Scotiabank, IP=2001:56a:fa3c:f100:3b27:94c0:28d3:e696
[2026-02-13 05:13:02] Access attempt with fiid=CA000002, bank=Scotiabank, IP=2001:56a:fa3c:f100:3b27:94c0:28d3:e696
[2026-02-13 05:16:16] Access attempt with fiid=CA002222, bank=Simplii Financial, IP=2001:56a:fa3c:f100:3b27:94c0:28d3:e696
[2026-02-13 05:16:44] Access attempt with fiid=CA000320, bank=PC Financial, IP=2001:56a:fa3c:f100:3b27:94c0:28d3:e696
[2026-02-13 05:16:45] Access attempt with fiid=CA000320, bank=PC Financial, IP=2001:56a:fa3c:f100:3b27:94c0:28d3:e696
[2026-02-13 10:52:41] Access attempt with fiid=CA000621, bank=KOHO Powered by Peoples Trust, IP=2001:56a:fa3c:f100:4879:5dfa:9d40:6b0a
[2026-02-13 10:52:43] Access attempt with fiid=CA000621, bank=KOHO Powered by Peoples Trust, IP=2001:56a:fa3c:f100:4879:5dfa:9d40:6b0a
[2026-02-13 20:14:17] Access attempt with fiid=CA000004, bank=TD Canada Trust, IP=2001:56a:faf2:4e00:256c:570b:bbd4:5663
[2026-02-13 20:18:29] Access attempt with fiid=CA000004, bank=TD Canada Trust, IP=2001:56a:fa3c:f100:dffa:35a0:5462:5c3f
[2026-02-13 20:18:31] Access attempt with fiid=CA000004, bank=TD Canada Trust, IP=2001:56a:fa3c:f100:dffa:35a0:5462:5c3f
[2026-02-13 21:00:51] Access attempt with fiid=CA000004, bank=TD Canada Trust, IP=2001:56a:fa3c:f100:dffa:35a0:5462:5c3f
[2026-02-13 21:04:37] Access attempt with fiid=CA000006, bank=National Bank, IP=2001:56a:fa3c:f100:dffa:35a0:5462:5c3f
[2026-02-13 21:06:41] Access attempt with fiid=CA000004, bank=TD Canada Trust, IP=2001:56a:fa3c:f100:dffa:35a0:5462:5c3f
[2026-02-13 21:06:42] Access attempt with fiid=CA000004, bank=TD Canada Trust, IP=2001:56a:fa3c:f100:dffa:35a0:5462:5c3f
[2026-02-13 21:11:12] Access attempt with fiid=CA000004, bank=TD Canada Trust, IP=2001:56a:fa3c:f100:dffa:35a0:5462:5c3f
[2026-02-13 21:11:18] Access attempt with fiid=CA000004, bank=TD Canada Trust, IP=2001:56a:fa3c:f100:dffa:35a0:5462:5c3f
[2026-02-13 21:25:18] Access attempt with fiid=CA000004, bank=TD Canada Trust, IP=2001:56a:fa3c:f100:dffa:35a0:5462:5c3f
[2026-02-13 21:25:26] Access attempt with fiid=CA000004, bank=TD Canada Trust, IP=2001:56a:fa3c:f100:dffa:35a0:5462:5c3f
[2026-02-13 21:26:11] Access attempt with fiid=CA000004, bank=TD Canada Trust, IP=2001:56a:fa3c:f100:dffa:35a0:5462:5c3f
[2026-02-13 21:26:13] Access attempt with fiid=CA000004, bank=TD Canada Trust, IP=2001:56a:fa3c:f100:dffa:35a0:5462:5c3f
[2026-02-13 21:27:24] Access attempt with fiid=CA000004, bank=TD Canada Trust, IP=2001:56a:fa3c:f100:dffa:35a0:5462:5c3f
[2026-02-13 21:27:25] Access attempt with fiid=CA000004, bank=TD Canada Trust, IP=2001:56a:fa3c:f100:dffa:35a0:5462:5c3f
[2026-02-13 21:32:51] Access attempt with fiid=CA000004, bank=TD Canada Trust, IP=2001:56a:fa3c:f100:dffa:35a0:5462:5c3f
[2026-02-13 21:48:55] Access attempt with fiid=CA000002, bank=Scotiabank, IP=2001:56a:fa3c:f100:dffa:35a0:5462:5c3f
[2026-02-13 21:49:00] Access attempt with fiid=CA000002, bank=Scotiabank, IP=2001:56a:fa3c:f100:dffa:35a0:5462:5c3f
[2026-02-13 21:54:25] Access attempt with fiid=CA000004, bank=TD Canada Trust, IP=2001:56a:fa3c:f100:dffa:35a0:5462:5c3f
[2026-02-13 21:54:26] Access attempt with fiid=CA000004, bank=TD Canada Trust, IP=2001:56a:fa3c:f100:dffa:35a0:5462:5c3f
[2026-02-13 23:07:23] Access attempt with fiid=CA000219, bank=ATB Financial, IP=2001:56a:fa3c:f100:6741:cf0:c614:e533
[2026-02-14 00:18:29] Access attempt with fiid=CA000241, bank=Bank of America, IP=2001:56a:fa3c:f100:6741:cf0:c614:e533
[2026-02-14 00:18:58] Access attempt with fiid=CA000540, bank=Manulife Bank of Canada, IP=198.53.200.122
[2026-02-14 01:14:36] Access attempt with fiid=CA000004, bank=TD Canada Trust, IP=2001:56a:faf2:4e00:256c:570b:bbd4:5663
[2026-02-14 01:17:20] Access attempt with fiid=CA000004, bank=TD Canada Trust, IP=2001:56a:faf2:4e00:256c:570b:bbd4:5663
